symbol,price_min,price_max,price_avg,price_variance,trade_count,total_volume,price_first,price_last,price_stddev,window_start,window_end,window_start_str,window_end_str
XRPUSDT,1.4283,1.429,1.4286356164383618,4.3826169107205005E-8,146,14270.800000000001,1.429,1.4283,2.0934700644433636E-4,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76226.96,76289.31,76262.41726825776,417.5635633659208,1424,2.669870000000005,76289.31,76226.96,20.43437210598654,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09487,0.09489,0.09488044943820226,6.570480081750288E-11,89,13892.0,0.09489,0.09487,8.105849789966681E-6,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,1.4281,1.4283,1.4282173076923073,5.773001508308083E-9,52,2497.0999999999995,1.4283,1.4282,7.598027052010334E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76223.91,76236.12,76230.41823223546,16.946970480445977,577,1.8486500000000063,76226.95,76223.91,4.116669828932845,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2321.92,2322.24,2322.097683615822,0.00984901009901214,354,28.044200000000025,2322.12,2321.93,0.09924217903196272,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,632.8,632.84,632.8128985507253,2.2971014492895907E-4,69,3.460999999999996,632.84,632.81,0.015156191636719267,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,0.09495,0.09497,0.09495328124999991,2.8745039682614312E-11,64,130799.0,0.09497,0.09495,5.361440075447483E-6,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,76288.31,76310.0,76301.45493203902,52.3602904134774,515,2.789940000000002,76310.0,76288.31,7.236041073230403,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,1.4292,1.4294,1.4292720588235275,7.118086040344815E-9,68,1153.7999999999997,1.4294,1.4292,8.436875037799728E-5,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2026-04-21 20:02:30,2026-04-21 20:03:30
