symbol,window_start,window_end,price_min,price_max,price_avg,price_variance,trade_count,total_volume,pct_return,volatility,volume_intensity,price_speed,prediction,distance_to_centroid,label,label_binary,window_start_str,window_end_str
AVAXUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,9.4,9.4,9.400000000000002,0.0,29,2024.8699999999994,0.0,0.0,69.82310344827584,0.0,0,0.8857616522686534,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,76223.9,76231.28,76226.42062222226,5.215572825214383,225,0.4544099999999999,9.668883381734463E-5,2.9960253239254837E-5,0.0020196,9.681682466214566E-5,0,0.4639892706861547,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,0.09487,0.09488,0.094875,3.333333333338459E-11,4,1259.0,-1.0539629005069561E-4,6.085378331384133E-5,314.75,1.0540184453238473E-4,0,0.721675451213513,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,1.4281,1.4281,1.4281000000000001,0.0,8,47.5,0.0,0.0,5.9375,0.0,0,0.8965290743506932,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,0.09487,0.09493,0.0948990243902439,2.728108756493308E-10,123,148486.0,-5.267038870746286E-4,1.740480220237912E-4,1207.2032520325204,6.32250967652443E-4,1,1.894334139297995,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,1.4283,1.429,1.4286356164383618,4.3826169107205005E-8,146,14270.800000000001,-4.898530440868754E-4,1.4653632041335054E-4,97.74520547945207,4.899779845509306E-4,1,1.5390229810348013,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
BTCUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,76226.96,76289.31,76262.41726825776,417.5635633659208,1424,2.669870000000005,-8.172835748546063E-4,2.67948130126893E-4,0.0018749087078651719,8.175717769431737E-4,1,2.0762671220094573,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
BNBUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,632.44,632.53,632.4855752212396,7.356036662520435E-4,113,6.098999999999998,-1.26476214566783E-4,4.288163316846634E-5,0.053973451327433614,1.4229573531133368E-4,0,0.6424961457269099,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
AVAXUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,9.38,9.39,9.38977777777777,2.22222222222214E-6,45,3847.480000000002,0.0,1.5875902713350808E-4,85.4995555555556,0.00106498793013677,1,2.8150039259322086,anomalo,1,2026-04-21 20:02:30,2026-04-21 20:03:30
ETHUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,2320.22,2320.36,2320.2969680851115,0.002387015018716366,188,2.554399999999996,5.6029169647752865E-5,2.1056394234861258E-5,0.01358723404255317,6.03371042267345E-5,0,0.5123827085647932,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
DOGEUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,0.09487,0.09489,0.09488044943820226,6.570480081750288E-11,89,13892.0,-2.10770365686649E-4,8.543224487196597E-5,156.08988764044943,2.1079158160009105E-4,0,1.2628098524906768,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
XRPUSDT,2026-04-21T20:02:30.000-06:00,2026-04-21T20:03:30.000-06:00,1.4281,1.4283,1.4282173076923073,5.773001508308083E-9,52,2497.0999999999995,-7.001330252747251E-5,5.319937667109717E-5,48.02115384615384,1.40034712450821E-4,0,0.4144890463307385,normal,0,2026-04-21 20:02:30,2026-04-21 20:03:30
